transact_date,transact_pbidpx,transact_pvalue,transact_paskpx,ticker,stkpx,expirdate,yte,strike,cvolu,coi,pvolu,poi,cbidpx,cvalue,caskpx,pbidpx,pvalue,paskpx,cbidiv,cmidiv,caskiv,smoothsmvvol,pbidiv,pmidiv,paskiv,irate,divrate,residualratedata,delta,gamma,theta,vega,rho,phi,driftlesstheta,extvol,extctheo,extptheo,spot_px,trade_date
2016-01-04,2.09,2.08,2.12,AAPL,105.22,2016-02-19,0.12603,97.50,399,158,4608,1552,9.60,9.61,9.65,2.09,2.08,2.12,0.34500,0.34706,0.34912,0.34560,0.34643,0.34766,0.34890,0.00220,0.00000,-0.025049,0.748194,0.024846,-0.049995,0.121235,0.086937,-0.098732,-0.044845,0.307861,9.9920,1.4100,NULL,2016-01-04
2016-01-04,2.09,2.08,2.12,AAPL,102.78,2016-02-19,0.12329,97.50,318,362,6237,2246,7.75,7.59,7.85,2.78,2.63,2.80,0.34711,0.35092,0.35474,0.33511,0.34670,0.34746,0.34823,0.00200,0.00000,-0.015857,0.685003,0.029562,-0.050935,0.125749,0.077288,-0.086364,-0.047869,0.291221,7.7841,1.7897,NULL,2016-01-05
2016-01-04,2.09,2.08,2.12,AAPL,100.37,2016-02-19,0.12055,97.50,489,469,1285,4772,6.20,6.16,6.30,3.65,3.58,3.70,0.35011,0.35382,0.35753,0.34714,0.35230,0.35415,0.35601,0.00210,0.00000,-0.018327,0.609510,0.031936,-0.055987,0.134802,0.066175,-0.073370,-0.052915,0.309845,6.3017,2.7162,NULL,2016-01-06
2016-01-04,2.09,2.08,2.12,AAPL,97.14,2016-02-19,0.11781,97.50,1301,682,1848,5491,4.65,4.60,4.80,5.40,5.30,5.50,0.37417,0.37980,0.38544,0.37008,0.37779,0.38154,0.38530,0.00200,0.00000,-0.015032,0.503155,0.032519,-0.059410,0.133097,0.052050,-0.057273,-0.057348,0.334197,4.6168,4.3457,NULL,2016-01-07
2016-01-04,2.09,2.08,2.12,AAPL,96.99,2016-02-19,0.11507,97.50,848,1677,1115,6129,4.30,4.33,4.40,5.15,5.16,5.25,0.35702,0.36082,0.36462,0.35921,0.35850,0.36231,0.36611,0.00200,0.00000,-0.017068,0.496854,0.033967,-0.058546,0.131498,0.050361,-0.055158,-0.056260,0.320557,4.3149,4.1741,NULL,2016-01-08
2016-01-04,2.09,2.08,2.12,AAPL,98.58,2016-02-19,0.10685,97.50,898,2103,1020,6388,4.85,4.74,4.95,4.15,4.00,4.20,0.34872,0.35265,0.35657,0.34039,0.35255,0.35451,0.35647,0.00210,0.00000,-0.017042,0.549928,0.036293,-0.058336,0.127459,0.052733,-0.057624,-0.055748,0.316627,5.0022,3.2661,NULL,2016-01-11
2016-01-04,2.09,2.08,2.12,AAPL,100.09,2016-02-19,0.10411,97.50,549,2520,1581,6805,5.55,5.46,5.65,3.30,3.18,3.35,0.33938,0.34337,0.34737,0.33187,0.34120,0.34319,0.34519,0.00210,0.00000,-0.018799,0.606340,0.036135,-0.057542,0.125138,0.057363,-0.062859,-0.054387,0.304930,5.7557,2.4800,NULL,2016-01-12
2016-01-04,2.09,2.08,2.12,AAPL,97.56,2016-02-19,0.10137,97.50,974,2629,751,7557,4.30,4.22,4.40,4.60,4.49,4.70,0.35731,0.36135,0.36540,0.35092,0.35976,0.36380,0.36784,0.00220,0.00000,-0.018335,0.512933,0.036795,-0.061391,0.123700,0.046333,-0.050461,-0.058820,0.322482,4.3858,3.6782,NULL,2016-01-13
2016-01-04,2.09,2.08,2.12,AAPL,99.41,2016-02-19,0.09863,97.50,1325,2988,1724,7875,5.05,5.12,5.15,3.50,3.52,3.55,0.34028,0.34440,0.34851,0.34596,0.34414,0.34619,0.34825,0.00250,0.00000,-0.020082,0.581166,0.036388,-0.061945,0.121522,0.051808,-0.056689,-0.058696,0.328265,5.5018,2.9092,NULL,2016-01-14
2016-01-04,2.09,2.08,2.12,AAPL,97.21,2016-02-19,0.09589,97.50,4010,3003,1804,7892,4.25,4.16,4.30,4.90,4.81,5.00,0.37941,0.38149,0.38357,0.37197,0.37930,0.38346,0.38763,0.00240,0.00000,-0.016298,0.500235,0.035853,-0.066184,0.120130,0.042529,-0.046381,-0.063912,0.328935,4.1431,3.8210,NULL,2016-01-15
2016-01-04,2.09,2.08,2.12,AAPL,96.93,2016-02-19,0.08493,97.50,3474,3340,2812,8039,3.70,3.63,3.75,4.65,4.55,4.75,0.36621,0.36845,0.37068,0.36017,0.36939,0.37387,0.37834,0.00260,0.00000,-0.020227,0.485671,0.039467,-0.068258,0.111862,0.036788,-0.039772,-0.065550,0.324314,3.7159,3.6593,NULL,2016-01-19
2016-01-04,2.09,2.08,2.12,AAPL,97.07,2016-02-19,0.08219,97.50,1639,5187,662,9531,4.05,3.99,4.15,4.90,4.79,4.95,0.39876,0.40326,0.40776,0.39372,0.40322,0.40547,0.40772,0.00260,0.00000,-0.017335,0.493795,0.036661,-0.075356,0.111131,0.036010,-0.039189,-0.072963,0.349979,4.0004,3.8291,NULL,2016-01-20
2016-01-04,2.09,2.08,2.12,AAPL,96.57,2016-02-19,0.07945,97.50,475,4865,467,9710,3.40,3.34,3.45,4.70,4.63,4.80,0.36712,0.36944,0.37175,0.36203,0.36823,0.37286,0.37749,0.00280,0.00000,-0.019750,0.468982,0.040620,-0.070215,0.108055,0.033225,-0.035793,-0.067632,0.343522,3.6141,3.9347,NULL,2016-01-21
2016-01-04,2.09,2.08,2.12,AAPL,101.32,2016-02-19,0.07671,97.50,1173,4965,810,9774,6.05,6.01,6.10,2.58,2.54,2.61,0.37145,0.37389,0.37632,0.36732,0.37163,0.37309,0.37456,0.00260,0.00000,-0.021162,0.653744,0.036028,-0.071886,0.102615,0.046069,-0.050559,-0.067977,0.350803,6.5238,2.0375,NULL,2016-01-22
2016-01-04,2.09,2.08,2.12,AAPL,99.53,2016-02-19,0.06849,97.50,175,4813,838,9260,5.15,5.13,5.25,3.50,3.45,3.55,0.41384,0.41878,0.42371,0.41167,0.41661,0.41908,0.42155,0.00250,0.00000,-0.024356,0.584389,0.036617,-0.087566,0.101285,0.036202,-0.039634,-0.083678,0.338359,4.9968,2.3219,NULL,2016-01-25
2016-01-04,2.09,2.08,2.12,AAPL,99.45,2016-02-19,0.06575,97.50,1175,4827,6680,9255,4.85,4.92,5.00,3.30,3.32,3.40,0.39639,0.40395,0.41151,0.40393,0.40215,0.40719,0.41223,0.00290,0.00000,-0.026091,0.583397,0.038144,-0.087969,0.099177,0.034789,-0.037954,-0.083767,0.345811,4.9564,2.3531,NULL,2016-01-26
2016-01-04,2.09,2.08,2.12,AAPL,93.52,2016-02-19,0.06301,97.50,2033,4904,1018,12926,1.16,1.17,1.18,5.55,5.61,5.70,0.29734,0.29862,0.29990,0.29855,0.29131,0.30096,0.31060,0.00280,0.00000,-0.009988,0.280170,0.048393,-0.052171,0.077999,0.015713,-0.016420,-0.051297,0.315227,1.5968,5.0963,NULL,2016-01-27
2016-01-04,2.09,2.08,2.12,AAPL,94.15,2016-02-19,0.06027,97.50,1080,5150,108,12432,1.12,0.94,1.13,4.90,4.75,5.00,0.27634,0.27696,0.27757,0.25298,0.27229,0.27855,0.28481,0.00260,0.00000,-0.009763,0.271172,0.057075,-0.044846,0.076628,0.014764,-0.015305,-0.044017,0.306000,1.6745,4.5425,NULL,2016-01-28
2016-01-04,2.09,2.08,2.12,AAPL,95.50,2016-02-19,0.05753,97.50,343,5476,99,12412,1.40,1.22,1.42,3.85,3.66,3.90,0.26179,0.26298,0.26416,0.24001,0.26212,0.26509,0.26806,0.00220,0.00000,-0.011605,0.341346,0.066891,-0.048954,0.084408,0.018174,-0.018851,-0.047772,0.305219,2.1638,3.6539,NULL,2016-01-29
2016-01-04,2.09,2.08,2.12,AAPL,96.48,2016-02-19,0.04932,97.50,751,5471,509,12324,1.46,1.31,1.49,2.95,2.78,2.98,0.24657,0.24836,0.25016,0.22791,0.24812,0.24992,0.25172,0.00190,0.00000,-0.013557,0.391551,0.079347,-0.053614,0.081133,0.017902,-0.018531,-0.052077,0.298906,2.3313,2.8419,NULL,2016-02-01
2016-01-04,2.09,2.08,2.12,AAPL,94.43,2016-02-19,0.04658,97.50,978,5531,540,12173,0.85,0.74,0.87,4.35,4.29,4.45,0.26397,0.26545,0.26694,0.24806,0.25711,0.26456,0.27202,0.00260,0.00000,-0.008562,0.252985,0.063837,-0.048223,0.062806,0.010727,-0.011067,-0.047519,0.296208,1.3730,3.9729,NULL,2016-02-02
2016-01-04,2.09,2.08,2.12,AAPL,96.45,2016-02-19,0.04384,97.50,1958,5671,377,12418,1.31,1.32,1.35,2.86,2.89,2.90,0.24466,0.24727,0.24988,0.24575,0.24219,0.24482,0.24745,0.00270,0.00000,0.133098,0.393519,0.080626,-0.048474,0.076577,0.012920,-0.013331,-0.058997,0.294928,2.1314,2.7290,NULL,2016-02-03
2016-01-04,2.09,2.08,2.12,AAPL,96.51,2016-02-19,0.04110,97.50,1011,6557,668,12407,1.52,1.40,1.53,2.48,2.37,2.51,0.25080,0.25145,0.25210,0.23489,0.24921,0.25117,0.25313,0.00240,0.00000,-0.002389,0.425991,0.085674,-0.060832,0.076198,0.016325,-0.016900,-0.060310,0.294281,2.3176,2.3242,NULL,2016-02-04
2016-01-04,2.09,2.08,2.12,AAPL,93.77,2016-02-19,0.03836,97.50,3181,6642,703,12664,0.80,0.79,0.81,4.45,4.48,4.50,0.28911,0.28993,0.29075,0.28825,0.28278,0.28701,0.29123,0.00230,0.00000,-0.011000,0.256263,0.061070,-0.061965,0.060991,0.008915,-0.009220,-0.061118,0.297405,1.1237,3.8717,NULL,2016-02-05
2016-01-04,2.09,2.08,2.12,AAPL,94.94,2016-02-19,0.03014,97.50,2523,7238,425,12615,0.92,0.93,0.94,3.40,3.47,3.50,0.28911,0.29085,0.29259,0.29097,0.27913,0.28783,0.29653,0.00210,0.00000,-0.006486,0.309701,0.073792,-0.077810,0.057550,0.008584,-0.008865,-0.077141,0.304881,1.3472,2.9346,NULL,2016-02-08
2016-01-04,2.09,2.08,2.12,AAPL,95.10,2016-02-19,0.02740,97.50,4122,8743,214,12861,0.93,0.87,0.95,3.25,3.24,3.35,0.29591,0.29773,0.29955,0.28501,0.28641,0.29548,0.30454,0.00270,0.00000,-0.008966,0.309145,0.078814,-0.080226,0.054967,0.007820,-0.008058,-0.079314,0.309479,1.3494,2.7696,NULL,2016-02-09
2016-01-04,2.09,2.08,2.12,AAPL,94.21,2016-02-19,0.02466,97.50,3282,7739,821,12880,0.57,0.60,0.59,3.80,3.88,3.90,0.28918,0.29137,0.29357,0.29637,0.27929,0.29028,0.30127,0.00270,0.00000,-0.004486,0.238541,0.070886,-0.076134,0.045576,0.005394,-0.005543,-0.075704,0.307239,0.9171,3.2495,NULL,2016-02-10
2016-01-04,2.09,2.08,2.12,AAPL,93.94,2016-02-19,0.02192,97.50,863,8785,137,12974,0.44,0.47,0.45,3.90,4.02,4.05,0.28943,0.29069,0.29195,0.29789,0.26638,0.28594,0.30551,0.00270,0.00000,-0.004847,0.206549,0.069100,-0.074517,0.039647,0.004150,-0.004254,-0.074125,0.305544,0.7352,3.3416,NULL,2016-02-11
2016-01-04,2.09,2.08,2.12,AAPL,93.91,2016-02-19,0.01918,97.50,4246,8905,162,12978,0.19,0.19,0.20,3.70,3.77,3.90,0.23369,0.23550,0.23732,0.23370,0.20387,0.23993,0.27599,0.00260,0.00000,-0.001850,0.126760,0.068551,-0.045373,0.027499,0.002247,-0.002284,-0.045230,0.279054,0.5216,3.1651,NULL,2016-02-12
2016-01-04,2.09,2.08,2.12,AAPL,96.59,2016-02-19,0.00822,97.50,10376,9089,1190,12896,0.52,0.52,0.54,1.41,1.43,1.44,0.25605,0.25911,0.26218,0.25759,0.25261,0.25725,0.26190,0.00230,0.00000,-0.010027,0.349766,0.164841,-0.140912,0.031855,0.002737,-0.002781,-0.139789,0.278217,1.0161,0.9507,NULL,2016-02-16
2016-01-04,2.09,2.08,2.12,AAPL,98.09,2016-02-19,0.00548,97.50,8416,13600,5052,12861,1.08,1.10,1.13,0.49,0.50,0.51,0.25751,0.26665,0.27580,0.26492,0.25949,0.26316,0.26684,0.00280,0.00000,-0.007546,0.625712,0.197766,-0.184653,0.027202,0.003307,-0.003368,-0.182945,0.284150,1.8427,0.2663,NULL,2016-02-17
2016-01-04,2.09,2.08,2.12,AAPL,96.22,2016-02-19,0.00274,97.50,15845,12989,9452,12836,0.17,0.18,0.18,1.44,1.45,1.47,0.29807,0.30158,0.30509,0.30221,0.29741,0.30786,0.31830,0.00280,0.00000,-0.037366,0.205989,0.187577,-0.219435,0.014244,0.000540,-0.000545,-0.217273,0.259145,0.3887,0.6965,NULL,2016-02-18
2016-01-04,2.09,2.08,2.12,AAPL,96.16,2016-02-19,0.00000,97.50,8224,16130,1588,15230,0.01,0.00,0.01,1.31,1.34,1.37,2.76272,2.76272,2.76272,0.82361,0.00000,1.72660,3.45320,0.00260,0.00000,0.013723,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.322940,0.0261,0.4045,NULL,2016-02-19
2016-02-05,2.25,2.22,2.29,AAPL,93.77,2016-03-18,0.11507,90.00,507,6373,2761,31213,6.10,6.10,6.20,2.25,2.22,2.29,0.30994,0.31424,0.31853,0.30999,0.31252,0.31424,0.31596,0.00300,0.00000,-0.007965,0.675551,0.036636,-0.044125,0.116346,0.065879,-0.072899,-0.042406,0.319677,6.8584,2.0402,NULL,2016-02-05
2016-02-05,2.25,2.22,2.29,AAPL,94.94,2016-03-18,0.10685,90.00,567,6431,3646,30779,6.80,6.86,6.90,1.83,1.85,1.87,0.31311,0.31795,0.32279,0.31936,0.31729,0.31922,0.32116,0.00320,0.00000,-0.004584,0.716546,0.034307,-0.044511,0.103254,0.065361,-0.072696,-0.043207,0.325396,7.6187,1.6560,NULL,2016-02-08
2016-02-05,2.25,2.22,2.29,AAPL,95.10,2016-03-18,0.10411,90.00,93,6574,1438,31785,7.00,7.39,7.10,1.85,2.20,1.87,0.32426,0.32916,0.33407,0.36176,0.32814,0.32912,0.33010,0.00300,0.00000,-0.006782,0.705305,0.031187,-0.052169,0.107153,0.062142,-0.069839,-0.050569,0.330812,7.7635,1.6227,NULL,2016-02-09
2016-02-05,2.25,2.22,2.29,AAPL,94.21,2016-03-18,0.10137,90.00,195,6572,1616,31853,6.30,6.38,6.35,2.03,2.11,2.06,0.32371,0.32608,0.32845,0.33139,0.32368,0.32510,0.32652,0.00310,0.00000,-0.003615,0.688926,0.035678,-0.048718,0.105428,0.059329,-0.065798,-0.047642,0.328211,7.0131,1.8010,NULL,2016-02-10
2016-02-05,2.25,2.22,2.29,AAPL,93.94,2016-03-18,0.09863,90.00,284,6599,2187,32128,6.10,6.03,6.20,2.13,2.03,2.16,0.32671,0.33152,0.33634,0.32008,0.32992,0.33136,0.33281,0.00280,0.00000,-0.004544,0.685820,0.037723,-0.047898,0.103827,0.057599,-0.063548,-0.046723,0.329141,6.7814,1.8384,NULL,2016-02-11
2016-02-05,2.25,2.22,2.29,AAPL,93.91,2016-03-18,0.09589,90.00,339,6650,6154,32647,5.85,5.90,5.95,1.91,1.92,1.92,0.30865,0.31353,0.31842,0.31315,0.31236,0.31285,0.31334,0.00300,0.00000,-0.005089,0.689813,0.038894,-0.047384,0.102319,0.056469,-0.062123,-0.046079,0.310983,6.5394,1.6220,NULL,2016-02-12
2016-02-05,2.25,2.22,2.29,AAPL,96.59,2016-03-18,0.08493,90.00,424,6736,5808,33379,7.60,7.64,7.70,0.99,0.98,1.00,0.29863,0.30494,0.31126,0.30367,0.30513,0.30574,0.30636,0.00300,0.00000,-0.006306,0.803238,0.032572,-0.040173,0.081380,0.059415,-0.065903,-0.038389,0.314301,8.5061,0.8800,NULL,2016-02-16
2016-02-05,2.25,2.22,2.29,AAPL,98.09,2016-03-18,0.08219,90.00,606,6816,2224,33028,8.75,8.75,8.90,0.66,0.61,0.67,0.29169,0.30309,0.31449,0.29175,0.29958,0.30034,0.30110,0.00300,0.00000,-0.003643,0.859704,0.027254,-0.031953,0.061717,0.062125,-0.069317,-0.030578,0.315990,9.7473,0.6276,NULL,2016-02-17
