transact_date,transact_cbidpx,transact_cvalue,transact_caskpx,ticker,stkpx,expirdate,yte,strike,cvolu,coi,pvolu,poi,cbidpx,cvalue,caskpx,pbidpx,pvalue,paskpx,cbidiv,cmidiv,caskiv,smoothsmvvol,pbidiv,pmidiv,paskiv,irate,divrate,residualratedata,delta,gamma,theta,vega,rho,phi,driftlesstheta,extvol,extctheo,extptheo,spot_px,trade_date,period_pnl,stoplossdate,stoplosstrigered,cumulative_pnl
2016-01-05,0.85,0.88,0.88,AAL,39.78,2016-02-19,0.00000,44.00,20,15773,115,877,0.00,0.00,0.01,3.90,4.22,4.40,0.00000,0.00000,0.00000,0.17418,0.00000,0.00000,0.00000,0.00260,0.00000,-0.002375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.396171,0.0000,3.8222,NULL,2016-02-19,0.88,NULL,NULL,0.88
2016-01-29,0.82,0.87,0.86,AAL,42.06,2016-03-18,0.00274,41.00,213,5363,50,835,1.06,1.09,1.22,0.01,0.03,0.11,0.00000,0.28430,0.56860,0.32396,0.26638,0.38359,0.50080,0.00290,0.00000,-0.057755,0.925983,0.186302,-0.053672,0.003176,0.001160,-0.001193,-0.047381,0.329084,1.4954,0.0071,NULL,2016-03-17,-0.22,2016-03-18,False,0.66
2016-03-02,0.78,0.79,0.86,AAL,40.92,2016-04-15,0.00000,44.00,17,1803,1,94,0.00,0.00,0.01,2.98,3.08,3.15,0.00000,0.00000,0.00000,0.91557,0.00000,0.00000,0.00000,0.00190,0.00000,-9.999999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.288951,0.0000,2.6708,NULL,2016-04-15,0.79,NULL,NULL,1.45
2016-04-07,0.80,0.82,0.82,AAL,39.91,2016-05-20,0.10137,41.00,1601,3598,98,3411,1.11,1.12,1.13,2.25,2.26,2.28,0.31514,0.31714,0.31914,0.31650,0.31369,0.31670,0.31971,0.00230,0.00000,-0.008972,0.408791,0.097169,-0.021647,0.049936,0.015384,-0.016498,-0.021178,0.322280,1.3174,2.0649,NULL,2016-04-13,-0.30,2016-04-14,False,1.15
2016-05-04,0.76,0.74,0.78,AAL,29.29,2016-06-17,0.00000,36.00,9,6679,64,1221,0.00,0.00,0.01,6.55,6.71,6.85,0.00000,0.00000,0.00000,0.19558,0.00000,0.00000,0.00000,0.00220,0.00000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.458490,0.0000,6.4171,NULL,2016-06-17,0.74,NULL,NULL,1.89
2016-06-03,0.56,0.57,0.58,AAL,32.53,2016-07-15,0.10137,33.00,623,2853,180,858,1.12,1.13,1.15,1.56,1.59,1.61,0.32022,0.32386,0.32751,0.32349,0.31729,0.32336,0.32944,0.00240,0.00000,-0.004940,0.467290,0.119127,-0.018349,0.041174,0.014259,-0.015408,-0.018066,0.343762,1.3764,1.5030,NULL,2016-06-08,-0.56,2016-06-09,False,1.33
2016-07-01,0.74,0.75,0.76,AAL,31.18,2016-08-19,0.10685,32.00,13350,7957,313,1450,1.28,1.29,1.30,2.18,2.18,2.21,0.41023,0.41273,0.41524,0.41209,0.41106,0.41481,0.41857,0.00310,0.00000,-0.004243,0.443148,0.094520,-0.021581,0.039945,0.013369,-0.014717,-0.021329,0.406831,1.4097,1.9944,NULL,2016-07-11,-0.54,2016-07-12,False,0.79
2016-08-03,0.79,0.79,0.80,AAL,35.94,2016-09-16,0.08767,36.00,688,1507,162,654,1.39,1.40,1.40,1.43,1.44,1.44,0.33148,0.33266,0.33383,0.33320,0.33188,0.33305,0.33423,0.00310,0.00000,-0.004170,0.515508,0.112902,-0.022522,0.042429,0.015019,-0.016245,-0.022180,0.313312,1.5050,1.1837,NULL,2016-08-15,-0.61,2016-08-16,False,0.18
2016-09-02,0.65,0.66,0.66,AAL,38.69,2016-10-21,0.12055,40.00,273,2560,37,73,1.27,1.28,1.29,2.56,2.57,2.60,0.33861,0.34051,0.34240,0.34009,0.33774,0.34153,0.34531,0.00340,0.00000,-0.000043,0.413052,0.085589,-0.020439,0.052846,0.017728,-0.019269,-0.020301,0.334310,1.4120,2.3196,NULL,2016-09-07,-0.62,2016-09-08,False,-0.44
2016-09-30,0.75,0.77,0.76,AAL,39.34,2016-11-18,0.08493,40.00,380,13657,46,1971,1.36,1.37,1.37,2.10,2.10,2.12,0.36866,0.36976,0.37086,0.37060,0.37024,0.37243,0.37462,0.00340,0.00000,-0.005178,0.453551,0.093740,-0.027611,0.045640,0.013976,-0.015120,-0.027225,0.387687,1.6332,1.9723,NULL,2016-10-18,-0.60,2016-10-19,False,-1.04
2016-11-02,0.70,0.73,0.72,AAL,42.25,2016-12-16,0.09863,43.00,362,2464,207,131,1.32,1.29,1.34,2.05,2.02,2.07,0.31126,0.31315,0.31504,0.30501,0.30980,0.31169,0.31358,0.00480,0.00000,0.001731,0.447100,0.098096,-0.022458,0.052834,0.017366,-0.018636,-0.022312,0.316918,1.5487,1.8639,NULL,2016-11-10,-0.56,2016-11-11,False,-1.60
2016-12-02,0.85,0.87,0.89,AAL,48.17,2017-01-20,0.11781,50.00,2892,23905,398,1500,1.42,1.46,1.49,3.20,3.25,3.30,0.32722,0.33274,0.33827,0.33304,0.32533,0.33323,0.34113,0.00510,0.00000,-0.001983,0.396695,0.070269,-0.025118,0.063339,0.020799,-0.022516,-0.024775,0.356298,1.8090,3.1187,NULL,2016-12-08,-0.59,2016-12-09,False,-2.19
2016-12-16,0.95,0.99,1.03,AAL,46.96,2017-01-27,0.00000,51.00,114,2856,22,244,0.01,0.00,0.01,4.00,4.05,4.15,0.00000,0.00000,0.00000,0.62769,0.00000,0.00000,0.00000,0.00490,0.00000,8.663603,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.774410,0.0000,3.5704,NULL,2017-01-27,0.99,NULL,NULL,-1.20
2017-01-06,1.20,1.21,1.22,AAL,46.76,2017-02-17,0.00000,49.00,106,4161,39,1677,0.00,0.00,0.01,2.23,2.24,2.26,0.00000,0.00000,0.00000,1.01363,0.00000,0.00000,0.00000,0.00500,0.00000,-9.999999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.432480,0.0000,1.7775,NULL,2017-02-17,1.21,NULL,NULL,0.01
2017-01-31,1.03,1.04,1.04,AAL,41.61,2017-03-17,0.00000,47.00,10,3569,14,1631,0.00,0.00,0.01,5.25,5.40,5.45,0.00000,0.00000,0.00000,0.89514,0.00000,0.00000,0.00000,0.00710,0.00000,6.631882,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.410320,0.0000,4.9790,NULL,2017-03-17,1.04,NULL,NULL,1.05
2017-03-06,0.97,0.96,0.99,AAL,45.30,2017-04-21,0.00000,48.00,35,2545,1,235,0.01,0.00,0.01,2.67,2.70,2.72,0.00000,0.00000,0.00000,0.73522,0.00000,0.00000,0.00000,0.00720,0.00000,-9.999999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.790530,0.0000,2.2470,NULL,2017-04-21,0.96,NULL,NULL,2.01
2017-03-16,0.69,0.81,0.87,AAL,45.30,2017-04-28,0.01918,45.00,1147,11446,344,535,1.20,1.22,1.24,0.91,0.92,0.93,0.41736,0.42546,0.43356,0.42636,0.42208,0.42613,0.43017,0.00720,0.00000,0.005180,0.556713,0.148177,-0.075836,0.024699,0.004609,-0.004843,-0.075713,0.340381,1.2845,0.5299,NULL,2017-04-21,-0.41,2017-04-24,False,1.60
2017-04-06,1.01,1.01,1.04,AAL,44.37,2017-05-19,0.08219,44.00,142,7959,71,1224,1.95,1.96,1.97,1.65,1.66,1.67,0.35484,0.35682,0.35880,0.35693,0.35533,0.35732,0.35930,0.00810,0.00000,-0.002802,0.547218,0.087687,-0.030710,0.050416,0.018322,-0.019915,-0.030044,0.340905,2.1316,1.3851,NULL,2017-04-19,-0.95,2017-04-20,False,0.65
2017-05-05,0.70,0.70,0.71,AAL,44.82,2017-06-16,0.10685,47.00,208,1593,27,86,0.75,0.76,0.76,2.99,3.00,3.00,0.27238,0.27335,0.27431,0.27480,0.27223,0.27320,0.27417,0.00910,0.00000,-0.000961,0.309198,0.087999,-0.018570,0.051785,0.013965,-0.014776,-0.018210,0.301914,1.0582,2.8496,NULL,2017-05-08,-0.06,2017-05-09,False,0.59
2017-06-08,0.74,0.81,0.75,AAL,51.90,2017-07-21,0.00000,55.00,41,1710,75,122,0.01,0.00,0.02,3.05,3.10,3.15,0.00000,0.00000,0.00000,0.47343,0.00000,0.00000,0.00000,0.01000,0.00000,-4.749041,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.640570,0.0000,2.5810,NULL,2017-07-21,0.81,NULL,NULL,1.40
2017-07-06,0.94,0.96,0.97,AAL,45.69,2017-08-18,0.00000,55.00,6,14311,10,379,0.00,0.00,0.01,9.25,9.31,9.45,0.00000,0.00000,0.00000,0.84444,0.00000,0.00000,0.00000,0.00970,0.00000,0.007325,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.724698,0.0000,8.8582,NULL,2017-08-18,0.96,NULL,NULL,2.36
2017-08-09,0.76,0.78,0.88,AAL,47.07,2017-09-22,0.00000,52.00,7,992,4,13,0.00,0.00,0.01,4.70,4.93,5.20,0.00000,0.00000,0.00000,0.90016,0.00000,0.00000,0.00000,0.00970,0.00000,-0.624819,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.124540,0.0000,4.4644,NULL,2017-09-22,0.78,NULL,NULL,3.14
2017-09-07,1.02,1.04,1.07,AAL,46.26,2017-10-20,0.10411,46.00,293,963,27,430,1.87,1.93,1.93,1.54,1.59,1.60,0.28566,0.29073,0.29580,0.29499,0.28611,0.29118,0.29625,0.01030,0.00000,-0.006885,0.549517,0.090253,-0.024126,0.059182,0.024459,-0.026463,-0.023020,0.333871,2.4174,1.6215,NULL,2017-09-12,-0.89,2017-09-13,False,2.25
2017-10-04,0.79,0.84,0.82,AAL,47.42,2017-11-17,0.00000,55.00,4,5196,5,1747,0.00,0.00,0.01,6.55,7.59,9.55,0.00000,0.00000,0.00000,0.17418,0.00000,0.00000,0.00000,0.01080,0.00000,9.999999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264818,0.0000,7.1109,NULL,2017-11-17,0.84,NULL,NULL,3.09
2017-11-02,0.97,1.04,1.04,AAL,51.07,2017-12-15,0.00000,50.00,17585,15515,101,1760,1.03,1.07,1.13,0.01,0.00,0.07,0.00000,0.00000,0.00000,1.94489,0.00000,0.00000,0.00000,0.01240,0.00000,0.000268,1.000000,0.000000,-0.001663,0.000000,0.000002,-0.000002,-0.000002,0.405842,1.5806,0.0000,NULL,2017-12-15,-0.03,NULL,NULL,3.06
2017-12-01,0.88,0.92,0.95,AAL,53.82,2018-01-19,0.02466,52.50,377,14018,441,3371,1.52,1.66,1.69,0.32,0.33,0.34,0.19406,0.22691,0.25977,0.24879,0.24595,0.24967,0.25339,0.01310,0.00000,-0.000939,0.746061,0.152948,-0.039038,0.026870,0.009492,-0.009901,-0.037558,0.267522,2.1255,0.2543,NULL,2018-01-10,-0.74,2018-01-11,False,2.32
2017-12-29,0.97,0.97,1.03,AAL,53.82,2018-02-16,0.10137,55.00,2295,19659,350,1445,1.40,1.42,1.42,2.54,2.57,2.62,0.27694,0.27843,0.27991,0.27955,0.27569,0.28164,0.28760,0.01420,0.00000,-0.012981,0.424654,0.082138,-0.027042,0.067476,0.021720,-0.023124,-0.025446,0.273165,1.6145,2.2225,NULL,2018-01-10,-0.45,2018-01-11,False,1.87
2018-01-19,1.19,1.22,1.30,AAL,53.22,2018-03-02,0.00000,60.50,1,1520,0,0,0.00,0.00,0.03,5.70,7.28,8.95,0.00000,0.00000,0.00000,0.20043,0.00000,0.00000,0.00000,0.01500,0.00000,0.004782,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.397031,0.0000,6.7478,NULL,2018-03-02,1.22,NULL,NULL,3.09
2018-02-02,1.09,1.17,1.14,AAL,55.48,2018-03-16,0.00000,55.00,1328,13700,145,6449,0.46,0.48,0.50,0.02,0.00,0.01,0.00000,1.86930,3.73860,1.07205,3.56846,3.28224,2.99603,0.01710,0.00000,9.999999,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.238090,1.0348,0.0002,NULL,2018-03-16,0.69,NULL,NULL,3.78
2018-04-04,1.36,1.36,1.37,AAL,43.39,2018-05-18,0.00000,55.00,1,17198,27,1917,0.00,0.00,0.01,11.55,11.61,11.70,0.00000,0.00000,0.00000,0.61699,0.00000,0.00000,0.00000,0.01680,0.00000,-4.820816,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.756800,0.0000,11.1762,NULL,2018-05-18,1.36,NULL,NULL,5.14
2018-05-04,0.73,0.73,0.74,AAL,42.86,2018-06-15,0.00000,46.00,31,6240,57,362,0.00,0.00,0.01,3.10,3.15,3.20,0.00000,0.00000,0.00000,0.62435,0.00000,0.00000,0.00000,0.01820,0.00000,3.847466,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.723310,0.0000,2.7165,NULL,2018-06-15,0.73,NULL,NULL,5.87
2018-06-05,0.86,0.90,0.89,AAL,37.98,2018-07-20,0.00000,47.00,1,1127,38,455,0.00,0.00,0.02,8.95,9.02,9.10,0.00000,0.00000,0.00000,0.62009,0.00000,0.00000,0.00000,0.01860,0.00000,0.018599,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.804860,0.0000,8.6402,NULL,2018-07-20,0.90,NULL,NULL,6.77
2018-07-06,0.85,0.86,0.86,AAL,37.99,2018-08-17,0.00000,41.00,23,6237,41,1118,0.01,0.00,0.01,2.99,3.02,3.05,0.00000,0.00000,0.00000,0.45639,0.00000,0.00000,0.00000,0.01950,0.00000,2.975946,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.618230,0.0000,2.6352,NULL,2018-08-17,0.86,NULL,NULL,7.63
2018-08-07,0.64,0.65,0.65,AAL,41.67,2018-09-21,0.00274,41.00,591,6844,566,2818,0.74,0.75,0.76,0.06,0.07,0.08,0.32072,0.33835,0.35598,0.33586,0.31797,0.33570,0.35344,0.02030,0.00000,-0.054166,0.825952,0.349721,-0.100704,0.005492,0.000934,-0.000955,-0.093834,0.320764,1.1131,0.0179,NULL,2018-09-20,-0.10,2018-09-21,False,7.53
2018-09-05,0.81,0.82,0.83,AAL,41.67,2018-10-19,0.07945,42.00,466,4001,124,1267,1.18,1.18,1.19,1.41,1.42,1.43,0.27484,0.27591,0.27699,0.27544,0.27328,0.27543,0.27758,0.02170,0.00000,-0.008424,0.487159,0.123824,-0.023924,0.046622,0.015196,-0.016136,-0.022346,0.288506,1.4592,1.2782,NULL,2018-09-20,-0.36,2018-09-21,False,7.17
2018-10-02,1.07,1.08,1.08,AAL,36.83,2018-11-16,0.00000,41.00,1,9418,3,1511,0.00,0.00,0.01,4.00,4.17,4.25,0.00000,0.00000,0.00000,0.92371,0.00000,0.00000,0.00000,0.02210,0.00000,-5.156523,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.738797,0.0000,3.8068,NULL,2018-11-16,1.08,NULL,NULL,8.25
2018-10-19,0.87,0.89,0.91,AAL,34.54,2018-11-30,0.08493,35.00,9,616,8,29,1.64,1.69,1.73,2.13,2.17,2.23,0.46351,0.47478,0.48605,0.47528,0.46447,0.47700,0.48953,0.02330,0.00000,-0.003534,0.487740,0.083878,-0.031935,0.039927,0.012847,-0.014272,-0.030823,0.524160,2.0593,2.1993,NULL,2018-10-30,-0.80,2018-10-31,False,7.45
2018-11-07,0.76,0.77,0.78,AAL,38.62,2018-12-21,0.06027,40.00,148,4418,79,1343,0.97,0.98,0.99,2.28,2.30,2.33,0.39931,0.40206,0.40480,0.40256,0.39704,0.40392,0.41080,0.02310,0.00000,-0.005419,0.386463,0.100586,-0.034396,0.036423,0.008409,-0.009001,-0.033306,0.387849,0.9282,2.2466,NULL,2018-11-29,-0.21,2018-11-30,False,7.24
2018-12-06,0.99,1.00,1.01,AAL,33.91,2019-01-18,0.00000,40.00,44,44457,59,10666,0.00,0.00,0.01,6.05,6.09,6.15,0.00000,0.00000,0.00000,0.43688,0.00000,0.00000,0.00000,0.02400,0.00000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.430922,0.0000,6.0900,NULL,2019-01-18,1.00,NULL,NULL,8.24
2018-12-28,1.31,1.30,1.36,AAL,35.12,2019-02-15,0.00000,35.00,1957,10407,362,2674,0.13,0.14,0.15,0.00,0.02,0.03,0.66373,0.85299,1.04225,0.79470,0.00000,0.52131,1.04263,0.02430,0.00000,0.000000,0.799039,1.956929,-2.090059,0.000504,0.000007,-0.000007,-2.088200,0.694345,0.1314,0.0114,NULL,2019-02-15,1.16,NULL,NULL,9.40
2019-01-31,0.84,0.87,0.86,AAL,31.45,2019-03-15,0.00000,38.00,23,14496,43,99,0.00,0.00,0.01,6.50,6.55,6.60,0.00000,0.00000,0.00000,0.56530,0.00000,0.00000,0.00000,0.02460,0.00000,-7.575546,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.567670,0.0000,6.5500,NULL,2019-03-15,0.87,NULL,NULL,10.27
2019-03-04,0.80,0.80,0.82,AAL,34.34,2019-04-18,0.00000,36.00,9,2152,96,1739,0.00,0.00,0.01,1.64,1.66,1.68,0.00000,1.07058,2.14116,0.13860,0.00000,1.21584,2.43169,0.02440,0.00000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.132467,0.0000,1.6600,NULL,2019-04-18,0.80,NULL,NULL,11.07
2019-03-29,0.85,0.86,0.86,AAL,33.88,2019-05-17,0.11781,34.00,1463,5502,612,1996,1.67,1.69,1.70,1.79,1.80,1.83,0.37084,0.37407,0.37731,0.37481,0.37188,0.37620,0.38051,0.02440,0.00000,-0.003737,0.515874,0.091851,-0.021476,0.046387,0.018588,-0.020534,-0.020260,0.344195,1.5464,1.6616,NULL,2019-04-04,-0.83,2019-04-05,False,10.24
2019-05-07,0.84,0.85,0.87,AAL,31.78,2019-06-21,0.00000,36.00,55,2999,1,9,0.00,0.00,0.01,4.15,4.22,4.25,0.00000,0.00000,0.00000,0.50343,0.00000,0.00000,0.00000,0.02160,0.00000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.496167,0.0000,4.2200,NULL,2019-06-21,0.85,NULL,NULL,11.09
