transact_date,transact_cbidpx,transact_cvalue,transact_caskpx,ticker,stkpx,expirdate,yte,strike,cvolu,coi,pvolu,poi,cbidpx,cvalue,caskpx,pbidpx,pvalue,paskpx,cbidiv,cmidiv,caskiv,smoothsmvvol,pbidiv,pmidiv,paskiv,irate,divrate,residualratedata,delta,gamma,theta,vega,rho,phi,driftlesstheta,extvol,extctheo,extptheo,spot_px,trade_date,period_pnl,stoplossdate,stoplosstrigered,cumulative_pnl
2016-01-05,0.85,0.88,0.88,AAL,39.78,2016-02-19,0.00000,44.00,20,15773,115,877,0.00,0.00,0.01,3.90,4.22,4.40,0.00000,0.00000,0.00000,0.17418,0.00000,0.00000,0.00000,0.00260,0.00000,-0.002375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.396171,0.0000,3.8222,NULL,2016-02-19,0.88,NULL,NULL,0.88
2016-01-29,0.82,0.87,0.86,AAL,43.48,2016-03-18,0.00000,41.00,1856,5317,50,805,2.41,2.49,2.55,0.01,0.00,0.03,0.00000,0.00000,0.00000,1.23713,0.00000,0.00000,0.00000,0.00270,0.00000,-9.999999,1.000000,0.000000,-4.472566,0.000000,0.000003,-0.000003,-0.000014,4.000000,2.9272,0.0000,NULL,2016-03-18,-1.62,NULL,NULL,-0.74
2016-03-02,0.78,0.79,0.86,AAL,40.92,2016-04-15,0.00000,44.00,17,1803,1,94,0.00,0.00,0.01,2.98,3.08,3.15,0.00000,0.00000,0.00000,0.91557,0.00000,0.00000,0.00000,0.00190,0.00000,-9.999999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.288951,0.0000,2.6708,NULL,2016-04-15,0.79,NULL,NULL,0.05
2016-04-07,0.80,0.82,0.82,AAL,31.97,2016-05-20,0.00000,41.00,5,4959,8,3327,0.00,0.00,0.02,8.45,9.03,9.10,0.00000,0.00000,0.00000,1.08379,0.00000,0.00000,0.00000,0.00260,0.00000,0.002602,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.370392,0.0000,8.7103,NULL,2016-05-20,0.82,NULL,NULL,0.87
2016-05-04,0.76,0.74,0.78,AAL,29.29,2016-06-17,0.00000,36.00,9,6679,64,1221,0.00,0.00,0.01,6.55,6.71,6.85,0.00000,0.00000,0.00000,0.19558,0.00000,0.00000,0.00000,0.00220,0.00000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.458490,0.0000,6.4171,NULL,2016-06-17,0.74,NULL,NULL,1.61
2016-06-03,0.56,0.57,0.58,AAL,31.18,2016-07-15,0.01096,33.00,355,4423,23,1204,0.20,0.21,0.22,1.98,2.03,2.06,0.59887,0.60981,0.62075,0.60840,0.55135,0.59637,0.64139,0.00280,0.00000,0.004959,0.194667,0.139205,-0.068586,0.009363,0.000610,-0.000631,-0.068617,0.401411,0.0905,1.5994,NULL,2016-07-11,0.36,2016-07-12,False,1.97
2016-07-01,0.74,0.75,0.76,AAL,31.18,2016-08-19,0.10685,32.00,13350,7957,313,1450,1.28,1.29,1.30,2.18,2.18,2.21,0.41023,0.41273,0.41524,0.41209,0.41106,0.41481,0.41857,0.00310,0.00000,-0.004243,0.443148,0.094520,-0.021581,0.039945,0.013369,-0.014717,-0.021329,0.406831,1.4097,1.9944,NULL,2016-07-11,-0.54,2016-07-12,False,1.43
2016-08-03,0.79,0.79,0.80,AAL,36.92,2016-09-16,0.02740,36.00,93,2135,99,2714,1.38,1.39,1.40,0.45,0.46,0.46,0.34593,0.35053,0.35512,0.34986,0.34581,0.34811,0.35041,0.00240,0.00000,-0.007702,0.680679,0.167661,-0.038978,0.021752,0.006511,-0.006892,-0.038321,0.325922,1.6033,0.3043,NULL,2016-09-06,-0.60,2016-09-07,False,0.83
2016-09-02,0.65,0.66,0.66,AAL,39.81,2016-10-21,0.00000,40.00,7427,10984,6288,8069,0.01,0.02,0.02,0.18,0.20,0.20,0.78008,0.88612,0.99216,0.89181,0.00000,0.00000,0.00000,0.00250,0.00000,-9.999999,0.166008,1.472781,-3.140139,0.000476,0.000002,-0.000002,-2.541542,0.848020,0.2388,0.0057,NULL,2016-10-21,0.64,NULL,NULL,1.47
2016-09-30,0.75,0.77,0.76,AAL,41.79,2016-11-18,0.02740,40.00,46,14706,108,5363,2.20,2.23,2.26,0.42,0.43,0.43,0.39497,0.40869,0.42242,0.40656,0.40398,0.40627,0.40856,0.00280,0.00000,-0.006186,0.754306,0.112293,-0.045127,0.021859,0.008034,-0.008645,-0.044406,0.367418,2.4747,0.2570,NULL,2016-11-08,-1.46,2016-11-09,False,0.01
