transact_date,transact_pbidpx,transact_pvalue,transact_paskpx,ticker,stkpx,expirdate,yte,strike,cvolu,coi,pvolu,poi,cbidpx,cvalue,caskpx,pbidpx,pvalue,paskpx,cbidiv,cmidiv,caskiv,smoothsmvvol,pbidiv,pmidiv,paskiv,irate,divrate,residualratedata,delta,gamma,theta,vega,rho,phi,driftlesstheta,extvol,extctheo,extptheo,spot_px,trade_date,period_pnl,stoplossdate,stoplosstrigered,cumulative_pnl
2016-04-05,0.85,0.87,0.86,AAL,35.92,2016-05-20,0.06027,36.00,296,701,252,9646,1.06,1.07,1.08,1.22,1.22,1.24,0.32191,0.32475,0.32760,0.32562,0.32428,0.32712,0.32997,0.00170,0.00000,-0.014663,0.495151,0.139784,-0.026817,0.035169,0.010049,-0.010690,-0.026069,0.323746,1.2533,1.0454,NULL,2016-04-28,-0.35,2016-04-29,False,-0.35
2016-07-06,0.86,0.87,0.88,AAL,36.52,2016-08-19,0.00000,26.00,3,22,2,2872,10.35,10.52,10.80,0.00,0.00,0.13,0.00000,0.00000,0.00000,1.35313,0.00000,0.00000,0.00000,0.00270,0.00000,0.013151,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.336893,10.8801,0.0000,NULL,2016-08-19,0.87,NULL,NULL,0.52
2016-08-03,1.12,1.13,1.13,AAL,35.69,2016-09-16,0.00000,32.00,2,140,2,2672,3.60,3.69,4.00,0.00,0.00,0.02,0.00000,0.00000,0.00000,1.48560,0.00000,0.00000,0.00000,0.00200,0.00000,0.000000,1.000000,0.000000,-0.000175,0.000000,0.000007,-0.000008,0.000000,1.934930,4.0419,0.0000,NULL,2016-09-16,1.13,NULL,NULL,1.65
2016-09-07,0.87,0.86,0.90,AAL,35.69,2016-10-21,0.09589,36.00,178,1132,141,1602,1.45,1.43,1.46,1.73,1.71,1.75,0.35741,0.35854,0.35968,0.35319,0.35862,0.36088,0.36315,0.00300,0.00000,-0.009475,0.494086,0.102622,-0.022886,0.044227,0.015538,-0.016911,-0.022332,0.370071,1.6886,1.6061,NULL,2016-09-16,-0.85,2016-09-19,False,0.80
2016-10-07,1.07,1.03,1.08,AAL,46.25,2016-11-18,0.00000,35.00,43,2668,3,5815,11.00,11.25,11.30,0.01,0.00,0.09,0.00000,0.00000,0.00000,1.40005,0.00000,0.00000,0.00000,0.00280,0.00000,0.000000,1.000000,0.000000,-0.000268,0.000000,0.000008,-0.000011,0.000000,1.102600,11.7125,0.0000,NULL,2016-11-18,1.03,NULL,NULL,1.83
2017-01-03,1.59,1.59,1.61,AAL,46.76,2017-02-17,0.00000,44.00,23,1835,7,4055,2.74,2.78,2.78,0.00,0.00,0.01,0.00000,0.00000,0.00000,1.37830,0.00000,0.00000,0.00000,0.00500,0.00000,-9.999999,1.000000,0.000000,-2.822977,0.000000,0.000010,-0.000011,-0.000015,1.947860,3.2461,0.0000,NULL,2017-02-17,1.59,NULL,NULL,3.42
2017-04-07,1.17,1.16,1.18,AAL,45.21,2017-05-19,0.00000,40.00,231,324,6,4901,5.15,5.21,5.30,0.00,0.00,0.01,0.00000,0.00000,0.00000,1.20389,0.00000,0.00000,0.00000,0.00710,0.00000,1.780444,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.375196,5.6622,0.0000,NULL,2017-05-19,1.16,NULL,NULL,4.58
2017-05-01,0.86,0.90,0.88,AAL,48.71,2017-06-16,0.00000,40.00,31,1266,2,2086,8.65,8.71,8.90,0.00,0.00,0.02,0.00000,0.00000,0.00000,1.64910,0.00000,0.00000,0.00000,0.00850,0.00000,0.000000,1.000000,0.000000,-0.000932,0.000000,0.000011,-0.000013,0.000000,1.033410,9.1933,0.0000,NULL,2017-06-16,0.90,NULL,NULL,5.48
2017-07-03,0.97,1.05,1.02,AAL,45.69,2017-08-18,0.00000,47.00,106,3222,262,1899,0.01,0.00,0.02,1.28,1.31,1.41,3.03892,3.25667,3.47442,0.83990,0.00000,0.00000,0.00000,0.00970,0.00000,0.007325,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.720799,0.0000,0.8582,NULL,2017-08-18,-0.26,NULL,NULL,5.22
2017-09-08,1.16,1.18,1.18,AAL,51.91,2017-10-20,0.00000,42.00,3,552,6,2041,9.55,9.94,10.50,0.00,0.00,0.05,0.00000,0.00000,0.00000,1.32811,0.00000,0.00000,0.00000,0.00990,0.00000,-9.999999,1.000000,0.000000,-23.850470,0.000000,0.000002,-0.000002,-0.000187,3.758470,10.4572,0.0000,NULL,2017-10-20,1.18,NULL,NULL,6.40
