transact_date,transact_pbidpx,transact_pvalue,transact_paskpx,ticker,stkpx,expirdate,yte,strike,cvolu,coi,pvolu,poi,cbidpx,cvalue,caskpx,pbidpx,pvalue,paskpx,cbidiv,cmidiv,caskiv,smoothsmvvol,pbidiv,pmidiv,paskiv,irate,divrate,residualratedata,delta,gamma,theta,vega,rho,phi,driftlesstheta,extvol,extctheo,extptheo,spot_px,trade_date,period_pnl,stoplossdate,stoplosstrigered,cumulative_pnl
2016-01-07,0.98,1.02,1.08,AAL,36.59,2016-02-19,0.03836,37.00,343,711,256,2574,1.13,1.14,1.16,1.63,1.64,1.69,0.47430,0.47960,0.48490,0.47813,0.47444,0.48504,0.49565,0.00230,0.00000,0.069796,0.461657,0.117062,-0.045952,0.028305,0.005234,-0.005576,-0.048516,0.513525,1.4192,1.5529,NULL,2016-02-05,-0.62,2016-02-08,False,-0.62
2016-02-04,0.99,1.00,1.00,AAL,36.59,2016-03-18,0.11507,35.00,107,458,2740,517,3.05,3.12,3.20,1.58,1.56,1.61,0.45138,0.46738,0.48338,0.46625,0.46976,0.47296,0.47616,0.00300,0.00000,0.011663,0.638365,0.065097,-0.025377,0.046880,0.020150,-0.022954,-0.025836,0.534898,3.6725,1.7507,NULL,2016-02-05,-0.56,2016-02-08,False,-1.18
2016-03-03,1.01,1.00,1.02,AAL,40.92,2016-04-15,0.00000,40.00,755,2658,71,2327,0.91,0.93,0.95,0.01,0.00,0.01,0.00000,0.00000,0.00000,1.40086,0.00000,0.00000,0.00000,0.00190,0.00000,-9.999999,1.000000,0.000000,-2.249746,0.000000,0.000003,-0.000003,-0.000004,0.334022,1.3355,0.0000,NULL,2016-04-15,1.00,NULL,NULL,-0.18
2016-04-08,1.17,1.12,1.19,AAL,35.92,2016-05-20,0.06027,37.00,506,4704,159,7739,0.65,0.66,0.67,1.80,1.81,1.83,0.31760,0.32069,0.32377,0.31972,0.31689,0.32152,0.32616,0.00170,0.00000,-0.014663,0.358240,0.133336,-0.024521,0.032428,0.007342,-0.007734,-0.023975,0.313594,0.7729,1.5654,NULL,2016-04-28,-0.69,2016-04-29,False,-0.87
2016-05-03,1.09,1.12,1.11,AAL,32.88,2016-06-17,0.10137,33.00,264,3012,195,2645,1.46,1.51,1.48,1.53,1.57,1.55,0.35564,0.35803,0.36043,0.36670,0.35822,0.36062,0.36302,0.00260,0.00000,-0.016834,0.517550,0.104222,-0.021583,0.041744,0.015725,-0.017251,-0.020757,0.370841,1.6996,1.4294,NULL,2016-05-11,-0.45,2016-05-12,False,-1.32
2016-07-08,0.84,0.85,0.85,AAL,36.52,2016-08-19,0.00000,28.00,2,707,30,4568,8.40,8.52,8.60,0.00,0.00,0.01,0.00000,0.00000,0.00000,1.35313,0.00000,0.00000,0.00000,0.00270,0.00000,0.013151,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.336893,8.8802,0.0000,NULL,2016-08-19,0.85,NULL,NULL,-0.47
2016-08-05,1.18,1.19,1.19,AAL,35.69,2016-09-16,0.00000,33.00,15,340,3,2528,2.67,2.69,2.70,0.00,0.00,0.01,0.00000,0.00000,0.00000,1.48560,0.00000,0.00000,0.00000,0.00200,0.00000,0.000000,1.000000,0.000000,-0.000181,0.000000,0.000008,-0.000008,0.000000,1.934930,3.0419,0.0000,NULL,2016-09-16,1.19,NULL,NULL,0.72
2016-09-06,1.07,1.14,1.10,AAL,39.81,2016-10-21,0.00000,35.00,13,15091,2,7241,4.75,4.83,4.85,0.00,0.00,0.01,0.00000,0.00570,0.01140,0.98386,0.00000,0.00000,0.00000,0.00250,0.00000,-9.999999,1.000000,0.000000,-3.175397,0.000000,0.000008,-0.000009,-0.000024,1.204860,5.2295,0.0000,NULL,2016-10-21,1.14,NULL,NULL,1.86
2016-10-03,1.09,1.05,1.10,AAL,46.25,2016-11-18,0.00000,35.00,43,2668,3,5815,11.00,11.25,11.30,0.01,0.00,0.09,0.00000,0.00000,0.00000,1.40005,0.00000,0.00000,0.00000,0.00280,0.00000,0.000000,1.000000,0.000000,-0.000268,0.000000,0.000008,-0.000011,0.000000,1.102600,11.7125,0.0000,NULL,2016-11-18,1.05,NULL,NULL,2.91
2016-12-05,1.33,1.36,1.36,AAL,47.92,2017-01-20,0.00000,44.00,46,8203,31,1576,3.90,3.92,3.95,0.00,0.00,0.01,0.00000,0.00000,0.00000,0.70401,0.00000,0.00000,0.00000,0.00460,0.00000,4.678467,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.649870,4.3992,0.0000,NULL,2017-01-20,1.36,NULL,NULL,4.27
