transact_date,transact_pbidpx,transact_pvalue,transact_paskpx,ticker,stkpx,expirdate,yte,strike,cvolu,coi,pvolu,poi,cbidpx,cvalue,caskpx,pbidpx,pvalue,paskpx,cbidiv,cmidiv,caskiv,smoothsmvvol,pbidiv,pmidiv,paskiv,irate,divrate,residualratedata,delta,gamma,theta,vega,rho,phi,driftlesstheta,extvol,extctheo,extptheo,spot_px,trade_date,period_pnl,stoplossdate,stoplosstrigered,cumulative_pnl
2016-01-07,0.98,1.02,1.08,AAL,39.78,2016-02-19,0.00000,37.00,182,957,15,2820,2.76,2.78,2.90,0.01,0.00,0.01,0.00000,0.00000,0.00000,0.43803,0.00000,0.00000,0.00000,0.00260,0.00000,-0.002375,1.000000,0.000000,-0.000504,0.000000,0.000003,-0.000003,0.000000,0.506741,3.1778,0.0000,NULL,2016-02-19,1.02,NULL,NULL,1.02
2016-02-04,0.99,1.00,1.00,AAL,43.48,2016-03-18,0.00000,35.00,6,575,15,3767,7.90,8.49,8.55,0.00,0.00,0.19,0.00000,0.00000,0.00000,1.23713,0.00000,0.00000,0.00000,0.00270,0.00000,-9.999999,1.000000,0.000000,-3.818044,0.000000,0.000003,-0.000003,-0.000012,4.000000,8.9254,0.0000,NULL,2016-03-18,1.00,NULL,NULL,2.02
2016-03-03,1.01,1.00,1.02,AAL,40.92,2016-04-15,0.00000,40.00,755,2658,71,2327,0.91,0.93,0.95,0.01,0.00,0.01,0.00000,0.00000,0.00000,1.40086,0.00000,0.00000,0.00000,0.00190,0.00000,-9.999999,1.000000,0.000000,-2.249746,0.000000,0.000003,-0.000003,-0.000004,0.334022,1.3355,0.0000,NULL,2016-04-15,1.00,NULL,NULL,3.02
2016-04-08,1.17,1.12,1.19,AAL,34.57,2016-05-20,0.04658,37.00,98,5348,50,7545,0.27,0.28,0.29,2.67,2.69,2.73,0.34770,0.35251,0.35732,0.35196,0.34003,0.35450,0.36896,0.00180,0.00000,-0.012312,0.197200,0.106168,-0.021778,0.020093,0.003045,-0.003175,-0.021525,0.334900,0.3145,2.3835,NULL,2016-05-03,-1.57,2016-05-04,False,1.45
2016-05-03,1.09,1.12,1.11,AAL,30.45,2016-06-17,0.00548,33.00,114,5572,121,5529,0.01,0.00,0.02,1.96,2.55,2.56,0.53467,0.56747,0.60027,0.44646,0.00000,0.29686,0.59372,0.00230,0.00000,-0.093234,0.007894,0.021489,-0.005503,0.000482,0.000013,-0.000013,-0.005440,0.356997,0.0010,2.2455,NULL,2016-06-15,-1.43,2016-06-16,False,0.02
2016-07-08,0.84,0.85,0.85,AAL,36.52,2016-08-19,0.00000,28.00,2,707,30,4568,8.40,8.52,8.60,0.00,0.00,0.01,0.00000,0.00000,0.00000,1.35313,0.00000,0.00000,0.00000,0.00270,0.00000,0.013151,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.336893,8.8802,0.0000,NULL,2016-08-19,0.85,NULL,NULL,0.87
2016-08-05,1.18,1.19,1.19,AAL,35.69,2016-09-16,0.00000,33.00,15,340,3,2528,2.67,2.69,2.70,0.00,0.00,0.01,0.00000,0.00000,0.00000,1.48560,0.00000,0.00000,0.00000,0.00200,0.00000,0.000000,1.000000,0.000000,-0.000181,0.000000,0.000008,-0.000008,0.000000,1.934930,3.0419,0.0000,NULL,2016-09-16,1.19,NULL,NULL,2.06
2016-09-06,1.07,1.14,1.10,AAL,39.81,2016-10-21,0.00000,35.00,13,15091,2,7241,4.75,4.83,4.85,0.00,0.00,0.01,0.00000,0.00570,0.01140,0.98386,0.00000,0.00000,0.00000,0.00250,0.00000,-9.999999,1.000000,0.000000,-3.175397,0.000000,0.000008,-0.000009,-0.000024,1.204860,5.2295,0.0000,NULL,2016-10-21,1.14,NULL,NULL,3.20
2016-10-03,1.09,1.05,1.10,AAL,46.25,2016-11-18,0.00000,35.00,43,2668,3,5815,11.00,11.25,11.30,0.01,0.00,0.09,0.00000,0.00000,0.00000,1.40005,0.00000,0.00000,0.00000,0.00280,0.00000,0.000000,1.000000,0.000000,-0.000268,0.000000,0.000008,-0.000011,0.000000,1.102600,11.7125,0.0000,NULL,2016-11-18,1.05,NULL,NULL,4.25
2016-12-05,1.33,1.36,1.36,AAL,47.92,2017-01-20,0.00000,44.00,46,8203,31,1576,3.90,3.92,3.95,0.00,0.00,0.01,0.00000,0.00000,0.00000,0.70401,0.00000,0.00000,0.00000,0.00460,0.00000,4.678467,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.649870,4.3992,0.0000,NULL,2017-01-20,1.36,NULL,NULL,5.61
